Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.25523,0.25028,0.23546,0.25069,0.26462,0.70253,0.70161,0.6519,0.64081,0.60164
0.23474,0.25577,0.23744,0.23875,0.24658,0.688,0.73635,0.65312,0.63646,0.59754
0.39362,0.38589,0.37863,0.37242,0.39634,0.52501,0.5423,0.51278,0.51602,0.48287
0.39472,0.38754,0.37991,0.37409,0.39718,0.5237,0.54085,0.51232,0.5149,0.48092
0.39472,0.38754,0.37991,0.37409,0.39718,0.5237,0.54085,0.51232,0.5149,0.48092
0.36035,0.3521,0.34427,0.34345,0.37244,0.57261,0.57903,0.5411,0.54118,0.51135
0.42127,0.41201,0.40673,0.39803,0.42874,0.49317,0.51255,0.48698,0.49186,0.45767
0.4152,0.4043,0.40209,0.38844,0.42931,0.49086,0.51591,0.48884,0.50092,0.48104
0.385,0.37018,0.37043,0.34932,0.40617,0.52305,0.5447,0.51508,0.54168,0.53
0.39606,0.38499,0.37694,0.36478,0.41392,0.50652,0.53139,0.51635,0.54873,0.49766
0.41229,0.40489,0.40166,0.39043,0.41387,0.48816,0.51964,0.49957,0.51166,0.46444
0.39299,0.37009,0.37532,0.35651,0.41246,0.51457,0.53706,0.52529,0.53013,0.5206
0.35572,0.33522,0.34367,0.32493,0.38885,0.54713,0.56496,0.57083,0.58263,0.55287
0.39165,0.37808,0.37085,0.36039,0.4073,0.50959,0.53861,0.52807,0.5541,0.49452
0.39245,0.37494,0.37804,0.36451,0.40749,0.50711,0.53783,0.54535,0.52614,0.4918
0.39068,0.37365,0.37488,0.36392,0.39833,0.5089,0.54174,0.5473,0.53485,0.4849
0.41563,0.40609,0.39901,0.39498,0.42204,0.48175,0.52081,0.51844,0.4971,0.4539
0.35404,0.3439,0.34295,0.32376,0.38535,0.557,0.58199,0.52865,0.56118,0.57532
0.29004,0.286,0.27657,0.24125,0.36521,0.60657,0.65678,0.59435,0.65867,0.64273
0.35543,0.3606,0.3373,0.33256,0.39312,0.54423,0.57731,0.54418,0.58869,0.51633
0.28877,0.27453,0.27184,0.25334,0.35099,0.60683,0.66408,0.64481,0.60824,0.61762
0.2846,0.29837,0.26868,0.26075,0.3445,0.5882,0.66476,0.6614,0.66783,0.56579
0.33872,0.33743,0.33196,0.3232,0.35089,0.54472,0.61059,0.61713,0.56445,0.50354
0.29069,0.30848,0.28337,0.27105,0.33243,0.5966,0.67801,0.58802,0.59569,0.59145
0.2953,0.3317,0.28783,0.27788,0.34741,0.58342,0.66985,0.58387,0.6129,0.55135
0.30562,0.3289,0.29211,0.29532,0.34379,0.58111,0.66465,0.62384,0.58203,0.51853
0.31586,0.35903,0.31902,0.31127,0.34511,0.56177,0.65414,0.56775,0.56289,0.51889
0.39721,0.38021,0.37957,0.3616,0.4217,0.52347,0.53072,0.50355,0.52731,0.51454
0.35518,0.33869,0.32906,0.31938,0.40796,0.58804,0.56753,0.5352,0.58969,0.571
0.39087,0.38383,0.3739,0.36562,0.41271,0.52289,0.53499,0.51038,0.54965,0.49447
0.3627,0.33386,0.33407,0.32373,0.41314,0.58197,0.56257,0.56594,0.56062,0.55555
0.35612,0.34498,0.3228,0.32625,0.40386,0.5753,0.57423,0.56939,0.58013,0.51829
0.39388,0.38372,0.37655,0.37565,0.40265,0.51708,0.54235,0.53886,0.5131,0.4702
0.29382,0.28032,0.26654,0.2553,0.37012,0.67482,0.65887,0.58162,0.61473,0.64274
0.28463,0.30071,0.25218,0.26322,0.36247,0.66988,0.6595,0.59725,0.64143,0.58453
0.26975,0.29166,0.23958,0.25556,0.36876,0.67462,0.69133,0.6659,0.6131,0.57451
0.2829,0.3194,0.27343,0.28097,0.34189,0.63066,0.68416,0.59627,0.58657,0.55822
0.39415,0.38158,0.37789,0.36881,0.42028,0.53734,0.53116,0.50766,0.52489,0.49761
0.38571,0.3784,0.3634,0.3596,0.41343,0.5471,0.54532,0.51682,0.53233,0.49489
0.39574,0.3894,0.37198,0.37403,0.42296,0.54042,0.53728,0.51307,0.51132,0.48048
0.34548,0.35488,0.32557,0.33648,0.3872,0.59956,0.59344,0.54462,0.54884,0.51841
0.41347,0.40638,0.4015,0.39356,0.42038,0.50046,0.518,0.49293,0.49866,0.46505
0.43488,0.42462,0.41464,0.40423,0.46031,0.47778,0.49496,0.46967,0.48353,0.46762
0.43326,0.42487,0.41357,0.39477,0.47501,0.48086,0.49352,0.4709,0.49606,0.46499
0.43465,0.42262,0.40818,0.40144,0.46334,0.47911,0.49474,0.48082,0.49771,0.45415
0.43665,0.42476,0.41071,0.39835,0.4804,0.4839,0.49094,0.4831,0.48647,0.456
0.43377,0.42493,0.40975,0.39812,0.47411,0.47867,0.49516,0.4872,0.49063,0.45128
0.42518,0.42378,0.40527,0.40111,0.44794,0.47682,0.50804,0.50576,0.4859,0.44584
0.41954,0.41694,0.39779,0.37843,0.48275,0.49264,0.51571,0.479,0.49576,0.48196
0.42138,0.4303,0.391,0.39137,0.48939,0.49294,0.51009,0.4811,0.50793,0.45718
0.42225,0.4169,0.39048,0.38359,0.47927,0.4875,0.51804,0.50642,0.4926,0.45829
0.41145,0.43552,0.39599,0.38143,0.47845,0.4924,0.5342,0.47948,0.49267,0.45087
0.43597,0.42641,0.4071,0.39797,0.47795,0.49388,0.49022,0.47276,0.49068,0.46391
0.44057,0.4311,0.4156,0.40633,0.47813,0.48159,0.48676,0.47231,0.4847,0.44828
0.43694,0.42741,0.40988,0.40268,0.47664,0.48302,0.49198,0.48106,0.48368,0.45199
0.42512,0.42821,0.39555,0.39644,0.48813,0.50371,0.50511,0.47132,0.49097,0.46282
0.42672,0.42108,0.40717,0.40393,0.45412,0.50259,0.5023,0.47954,0.48449,0.4526
0.447,0.44321,0.42731,0.41668,0.47495,0.46535,0.48301,0.45997,0.4702,0.44158
0.44774,0.44375,0.42517,0.41747,0.4768,0.46546,0.48271,0.46247,0.47233,0.43699
0.44934,0.44449,0.42828,0.41987,0.47952,0.46105,0.47957,0.46509,0.4694,0.43619
0.45598,0.45419,0.43314,0.42314,0.49755,0.45715,0.47439,0.45292,0.4633,0.42935
0.44722,0.44273,0.42716,0.4186,0.47792,0.46697,0.48205,0.46005,0.46967,0.43961
0.43898,0.42829,0.41871,0.41082,0.45676,0.47071,0.49244,0.47413,0.48088,0.44939
0.41144,0.39634,0.40228,0.39238,0.40635,0.49096,0.52069,0.49793,0.50567,0.48272
0.38844,0.37655,0.38075,0.37051,0.39044,0.5119,0.53828,0.51221,0.53853,0.51736
0.38915,0.38211,0.3789,0.37354,0.38968,0.5113,0.53913,0.51689,0.54498,0.49326
0.41568,0.40718,0.40228,0.39504,0.41538,0.4859,0.51664,0.49529,0.51063,0.46367
0.38441,0.37144,0.37597,0.36522,0.3835,0.51907,0.54708,0.52076,0.52944,0.51326
0.35156,0.32505,0.34563,0.34138,0.33199,0.5413,0.57507,0.58258,0.59159,0.55313
0.38789,0.3809,0.37268,0.37235,0.38755,0.50962,0.54424,0.53058,0.54696,0.48284
0.39338,0.37422,0.38149,0.37927,0.37563,0.49966,0.54289,0.55021,0.52082,0.49026
0.3897,0.36879,0.37493,0.37698,0.37263,0.50466,0.54502,0.562,0.53497,0.48721
0.41112,0.40298,0.39985,0.39652,0.40648,0.48476,0.52783,0.5188,0.49418,0.45545
0.364,0.34414,0.35663,0.3494,0.34454,0.5391,0.57848,0.53062,0.55238,0.54713
0.2899,0.29102,0.28666,0.30272,0.27393,0.59055,0.65204,0.60275,0.64853,0.60451
0.34577,0.34995,0.3403,0.33807,0.33694,0.53627,0.59272,0.55989,0.59934,0.51945
0.295,0.28418,0.30247,0.32295,0.25802,0.58376,0.65207,0.64202,0.59892,0.58074
0.27882,0.29814,0.28816,0.32865,0.21785,0.59143,0.69267,0.69696,0.64344,0.52677
0.35042,0.34271,0.35071,0.3501,0.33143,0.53366,0.59686,0.59792,0.54517,0.49801
0.29611,0.31051,0.30652,0.31575,0.27603,0.57692,0.66713,0.59482,0.58321,0.56506
0.30981,0.35287,0.31255,0.34314,0.29296,0.55707,0.65543,0.58961,0.60055,0.50696
0.29037,0.32159,0.29979,0.32899,0.26123,0.57901,0.6881,0.64342,0.57842,0.52611
0.32457,0.35329,0.32604,0.33865,0.31199,0.55354,0.64809,0.57327,0.55897,0.50377
0.3926,0.37586,0.38039,0.37493,0.39002,0.5234,0.53745,0.50939,0.52311,0.513
0.35237,0.33914,0.3401,0.34807,0.35527,0.57547,0.573,0.53805,0.57594,0.54959
0.38562,0.38005,0.37205,0.36976,0.39163,0.52464,0.54215,0.52117,0.54648,0.4895
0.35476,0.32962,0.33452,0.35232,0.34094,0.57606,0.57872,0.5796,0.55351,0.53719
0.35553,0.3436,0.33864,0.35942,0.34855,0.56998,0.57314,0.57778,0.56823,0.50792
0.38612,0.37247,0.37252,0.38367,0.37159,0.52716,0.54933,0.55716,0.52148,0.47546
0.28877,0.28516,0.28015,0.30565,0.29078,0.65243,0.65722,0.58447,0.60598,0.60582
0.2916,0.29396,0.27669,0.32252,0.27226,0.63613,0.65476,0.61501,0.63312,0.55538
0.2911,0.28925,0.2904,0.33119,0.26441,0.62671,0.67435,0.64716,0.58544,0.53812
0.29494,0.34115,0.30849,0.33331,0.28756,0.6181,0.68442,0.57971,0.56441,0.52549
0.39469,0.38542,0.37864,0.38123,0.40183,0.53675,0.5346,0.50665,0.51573,0.49169
0.3883,0.38493,0.3763,0.37705,0.39561,0.53664,0.54065,0.50922,0.52678,0.48714
0.38519,0.37406,0.37065,0.37807,0.38298,0.54316,0.54778,0.52865,0.52291,0.48508
0.34875,0.35214,0.34419,0.35891,0.35135,0.58525,0.59085,0.54355,0.54236,0.50896
0.41521,0.40829,0.40138,0.39717,0.41715,0.50292,0.5173,0.4951,0.49639,0.45964
0.43304,0.41743,0.41863,0.40691,0.44858,0.48034,0.49399,0.46874,0.48745,0.47806
0.43908,0.42723,0.41396,0.41693,0.47691,0.47543,0.47908,0.46689,0.50758,0.47754
0.43306,0.42847,0.41274,0.41433,0.44866,0.47359,0.49407,0.47673,0.50436,0.4473
0.44169,0.42168,0.41369,0.42176,0.46928,0.47413,0.47951,0.48897,0.48736,0.46721
0.43746,0.42867,0.40815,0.42555,0.45877,0.47139,0.48798,0.49991,0.50086,0.43686
0.43623,0.42611,0.41792,0.41885,0.44196,0.46723,0.49778,0.50435,0.47934,0.42989
0.4073,0.41527,0.38513,0.40245,0.46015,0.49864,0.52131,0.48562,0.50309,0.49647
0.42084,0.43105,0.38772,0.41092,0.47109,0.48406,0.51447,0.47904,0.5163,0.45108
0.41941,0.42313,0.38601,0.42325,0.45474,0.47718,0.53736,0.53468,0.4791,0.42471
0.39432,0.42123,0.37706,0.40339,0.44047,0.50308,0.56174,0.50238,0.49211,0.45018
0.43164,0.42622,0.40654,0.41123,0.4745,0.50489,0.49154,0.46625,0.48493,0.46849
0.42368,0.42728,0.39909,0.41556,0.46498,0.50671,0.49624,0.47582,0.50841,0.45452
