Obj1,Obj2,Obj3,Obj4,Obj5
0.25404,0.53286,0.51877,0.48756,0.31384
0.1836,0.63041,0.63455,0.5984,0.23381
0.10913,0.72385,0.716,0.72619,0.15755
0.28236,0.49212,0.46481,0.44741,0.34711
0.23205,0.55567,0.52955,0.51259,0.29152
0.18222,0.62488,0.60458,0.59112,0.23276
0.26702,0.50557,0.47249,0.4647,0.33294
0.23211,0.54061,0.501,0.5071,0.30036
0.26515,0.49489,0.45275,0.46631,0.33803
0.3959,0.35042,0.25043,0.31122,0.51594
0.35395,0.39142,0.27261,0.35496,0.48579
0.30107,0.44397,0.30726,0.43289,0.43728
0.24488,0.5125,0.36658,0.51008,0.37365
0.19829,0.56604,0.43669,0.58634,0.31252
0.17025,0.59504,0.4802,0.60565,0.27599
0.17791,0.58114,0.48188,0.58257,0.27839
0.36361,0.38688,0.29149,0.3347,0.47936
0.309,0.45016,0.33313,0.39231,0.42875
0.2387,0.5189,0.38133,0.48671,0.36907
0.15321,0.62649,0.47419,0.63127,0.28633
0.11529,0.68836,0.5455,0.70578,0.22711
0.12263,0.66538,0.5612,0.6736,0.21585
0.33081,0.43267,0.34561,0.36789,0.43199
0.26345,0.51146,0.42138,0.43642,0.36722
0.14272,0.64894,0.52885,0.58546,0.2694
0.020356,0.82239,0.68268,0.84094,0.15509
0.03072,0.85555,0.7413,0.888,0.099478
0.29955,0.48983,0.43893,0.41134,0.3752
0.228,0.58774,0.54872,0.50476,0.29479
0.12679,0.75657,0.73011,0.67094,0.16809
0,1,1,1,0
0.25958,0.53019,0.48778,0.46239,0.329
0.1964,0.63293,0.61379,0.56656,0.24321
0.1178,0.76644,0.75375,0.70571,0.14393
0.2434,0.54718,0.51088,0.49162,0.30476
0.19557,0.61778,0.58841,0.56637,0.24474
0.24418,0.53219,0.49152,0.49052,0.31087
0.34835,0.40271,0.30101,0.35068,0.46509
0.31701,0.44747,0.32138,0.39209,0.4324
0.24461,0.52179,0.38,0.4836,0.36681
0.19657,0.58237,0.43751,0.56307,0.30809
0.15616,0.62068,0.49261,0.61295,0.26404
0.15191,0.62852,0.5141,0.62005,0.24791
0.32393,0.44669,0.34783,0.37664,0.42496
0.26133,0.51521,0.39044,0.45,0.36918
0.17697,0.61794,0.47463,0.55962,0.29017
0.095482,0.72293,0.56573,0.69866,0.20903
0.08933,0.74466,0.61859,0.72991,0.16942
0.28435,0.49499,0.40976,0.42272,0.37145
0.20651,0.60303,0.49986,0.51467,0.29478
0.11014,0.73393,0.61555,0.65953,0.18896
0.018649,0.92961,0.78536,0.8867,0.068135
0.25062,0.55752,0.48401,0.47102,0.32049
0.17608,0.66815,0.60945,0.57939,0.22995
0.064338,0.86999,0.80333,0.76989,0.099578
0.22513,0.57746,0.52428,0.50568,0.29062
0.17011,0.68543,0.63445,0.60411,0.20972
0.23099,0.56247,0.51721,0.50732,0.29162
0.31006,0.45897,0.35395,0.39888,0.40571
0.27199,0.49893,0.37744,0.44453,0.37437
0.21629,0.55828,0.4357,0.51369,0.31761
0.18093,0.60481,0.47773,0.57174,0.27689
0.14541,0.64216,0.51939,0.62086,0.24321
0.27055,0.50465,0.39971,0.43718,0.36773
0.2254,0.56721,0.45075,0.49866,0.31608
0.15812,0.65608,0.52608,0.59439,0.24671
0.11244,0.70654,0.57855,0.66354,0.20134
0.24254,0.54212,0.45229,0.47438,0.32572
0.18534,0.63352,0.54103,0.55065,0.25952
0.10496,0.73795,0.62514,0.66578,0.18283
0.21298,0.5891,0.52018,0.51765,0.28261
0.15537,0.67435,0.59634,0.60105,0.21741
0.21109,0.58954,0.53175,0.52441,0.27664
0.2798,0.48833,0.38689,0.43125,0.37427
0.24563,0.52755,0.42104,0.47384,0.33836
0.20178,0.57644,0.4616,0.52917,0.29809
0.17536,0.60658,0.49768,0.56907,0.2667
0.2481,0.52573,0.43421,0.46793,0.33554
0.20669,0.5803,0.47472,0.52202,0.29421
0.16161,0.64058,0.53149,0.58927,0.24342
0.22442,0.55741,0.47231,0.49941,0.3054
0.17501,0.62712,0.53218,0.56277,0.25498
0.21291,0.57979,0.50454,0.51862,0.2852
0.26381,0.50833,0.40655,0.45335,0.35363
0.23007,0.54445,0.4432,0.49352,0.31945
0.21131,0.56519,0.46409,0.52056,0.29901
0.24004,0.53613,0.44425,0.48018,0.32501
0.21141,0.57564,0.47961,0.51787,0.2933
0.22546,0.5552,0.47155,0.49898,0.30579
0.25697,0.51276,0.42283,0.46355,0.34148
0.23819,0.53083,0.43742,0.48428,0.32614
0.24327,0.52682,0.43863,0.47849,0.32813
0.25665,0.51297,0.4231,0.46376,0.3413
0.56403,0.20202,0.13714,0.18516,0.66669
0.54582,0.20678,0.14092,0.21524,0.65844
0.49462,0.24476,0.16652,0.27733,0.61608
0.4195,0.30993,0.22066,0.35072,0.54296
0.35374,0.37032,0.301,0.41175,0.46242
0.30948,0.4211,0.34561,0.44406,0.40948
0.27684,0.45893,0.38287,0.47416,0.37325
0.26687,0.47553,0.40034,0.47576,0.35717
0.27138,0.47156,0.40037,0.469,0.35945
0.54877,0.20797,0.15272,0.19633,0.65276
0.52145,0.21912,0.18239,0.23432,0.62797
0.44339,0.28195,0.22121,0.30766,0.55855
0.38406,0.34061,0.28612,0.39089,0.49072
0.31862,0.41073,0.34244,0.46038,0.42266
0.26892,0.46466,0.39629,0.48705,0.36586
0.25354,0.48783,0.41737,0.49859,0.3444
0.25679,0.4882,0.41805,0.48598,0.34414
0.51327,0.24799,0.22995,0.22606,0.5953
0.46627,0.2761,0.26569,0.27841,0.55191
0.40904,0.32517,0.32488,0.36021,0.49632
0.33677,0.39819,0.37946,0.45405,0.42293
0.27145,0.46794,0.42299,0.50072,0.35717
0.24002,0.50418,0.445,0.51325,0.32673
0.23658,0.50888,0.44844,0.51626,0.32301
0.45489,0.30291,0.29135,0.2758,0.53096
0.41643,0.34229,0.35159,0.32433,0.48663
0.3555,0.39795,0.40977,0.40973,0.41957
0.29363,0.46112,0.45011,0.47904,0.35846
0.2348,0.51912,0.48485,0.5364,0.30939
0.22854,0.52292,0.47323,0.52807,0.30878
0.39723,0.36957,0.36286,0.33211,0.46307
0.35913,0.40945,0.40846,0.38311,0.416
0.30149,0.46022,0.45094,0.44558,0.36414
0.25454,0.50416,0.4868,0.50177,0.3229
0.22581,0.53086,0.48989,0.52331,0.30244
0.347,0.4146,0.39503,0.38331,0.41229
0.30969,0.45694,0.43555,0.43071,0.36924
0.27411,0.49252,0.47,0.47494,0.33493
0.25443,0.51256,0.47823,0.49774,0.31734
0.30893,0.44909,0.41535,0.41845,0.37931
0.28592,0.47368,0.44004,0.4449,0.35636
0.26875,0.49097,0.45513,0.46876,0.33861
0.29266,0.46129,0.41556,0.43082,0.3696
0.28232,0.47476,0.42782,0.44598,0.35636
0.28828,0.46692,0.41712,0.43758,0.36414
0.54867,0.21405,0.14064,0.19673,0.65748
0.50669,0.24727,0.1476,0.24509,0.62867
0.45898,0.28322,0.1801,0.31999,0.59157
0.37657,0.35944,0.25219,0.40397,0.50102
0.3012,0.43452,0.3359,0.47776,0.41603
0.26215,0.47249,0.39243,0.50001,0.36482
0.24541,0.49952,0.42083,0.50724,0.337
0.24918,0.49498,0.41952,0.496,0.33995
0.51483,0.24639,0.19178,0.21241,0.6135
0.4668,0.26739,0.20135,0.26475,0.58945
0.40308,0.32186,0.25444,0.37989,0.52757
0.31416,0.41946,0.34038,0.47707,0.42482
0.25665,0.49191,0.4139,0.53383,0.34854
0.22191,0.52846,0.45186,0.55022,0.31222
0.22568,0.52538,0.45016,0.53143,0.31326
0.47696,0.2912,0.26647,0.24591,0.56006
0.43249,0.3243,0.33283,0.30649,0.50767
0.35779,0.3919,0.41811,0.44176,0.43456
0.27472,0.48653,0.47851,0.54815,0.34289
0.20436,0.55603,0.50143,0.59327,0.28465
0.19539,0.56566,0.50701,0.5777,0.27501
0.41579,0.35687,0.3559,0.31822,0.47673
0.37278,0.41769,0.43858,0.38242,0.41777
0.31264,0.49406,0.5323,0.49856,0.33974
0.22337,0.56316,0.56228,0.588,0.27223
0.18196,0.6022,0.57443,0.61829,0.2415
0.36151,0.42406,0.42203,0.37837,0.41165
0.3175,0.47913,0.49349,0.44608,0.35656
0.24808,0.54362,0.54355,0.52118,0.29517
0.20587,0.58901,0.57335,0.57595,0.2541
0.30753,0.46501,0.44685,0.42534,0.36877
0.27575,0.50447,0.48829,0.46992,0.33084
0.23725,0.54949,0.53404,0.52591,0.2888
0.28637,0.4775,0.44054,0.44119,0.35591
0.26249,0.5049,0.46604,0.47181,0.3304
0.28282,0.47457,0.42792,0.44545,0.35658
0.48963,0.28327,0.18723,0.23252,0.59667
0.44451,0.31247,0.1924,0.28762,0.56823
0.37283,0.38162,0.23626,0.39032,0.51117
0.30564,0.44654,0.3148,0.47546,0.42449
0.24693,0.50606,0.39237,0.53694,0.35484
0.21993,0.53286,0.4422,0.55167,0.3143
0.21804,0.53279,0.44716,0.53589,0.31119
0.46672,0.31426,0.23276,0.24485,0.56438
0.38741,0.36304,0.2667,0.31344,0.50593
0.29701,0.46677,0.3078,0.47255,0.44351
0.25145,0.54394,0.42325,0.60282,0.33863
0.18176,0.59278,0.49822,0.63355,0.27183
0.17355,0.59692,0.51228,0.61351,0.2588
0.41078,0.36773,0.33561,0.29987,0.49123
0.36112,0.45518,0.4366,0.36203,0.43137
0.29419,0.52421,0.56477,0.52916,0.31738
0.21944,0.6686,0.65309,0.74157,0.21797
0.13864,0.67785,0.62032,0.70988,0.19296
0.36098,0.44519,0.42714,0.369,0.4144
0.32029,0.54442,0.56904,0.4649,0.33304
0.25889,0.66074,0.72277,0.61164,0.23662
0.15364,0.71883,0.72598,0.7264,0.16169
0.31546,0.49284,0.48926,0.43242,0.35662
0.25873,0.5759,0.58797,0.52102,0.28518
0.20016,0.65782,0.66804,0.62035,0.21405
0.27649,0.50875,0.48069,0.46179,0.33217
0.23644,0.56055,0.53768,0.51687,0.28699
0.26607,0.50687,0.46666,0.4689,0.33027
0.43164,0.34555,0.23582,0.28304,0.53472
0.36235,0.40656,0.27451,0.357,0.47515
0.30071,0.48448,0.33046,0.43814,0.41307
0.2467,0.55326,0.39597,0.55583,0.34272
0.19192,0.58136,0.46027,0.59116,0.29002
0.18521,0.58147,0.48433,0.5818,0.27593
0.39845,0.404,0.31447,0.30987,0.48619
0.31751,0.48188,0.36028,0.3928,0.41604
0.24495,0.58977,0.43526,0.52326,0.32174
0.16736,0.66409,0.52608,0.66283,0.23897
0.1255,0.67204,0.57487,0.68474,0.20725
0.34696,0.46984,0.40394,0.37225,0.40993
0.28865,0.57736,0.52791,0.46362,0.32493
0.23367,0.77964,0.69222,0.64544,0.20299
0.12034,0.82878,0.74396,0.81046,0.11128
0.29811,0.52386,0.49593,0.43974,0.34403
0.23346,0.65178,0.62734,0.54998,0.25252
0.17882,0.81538,0.83866,0.73755,0.1318
0.25864,0.55386,0.52281,0.4823,0.30791
0.20106,0.64922,0.62747,0.58305,0.22792
0.2464,0.54446,0.50456,0.48975,0.30622
0.36279,0.419,0.29963,0.35137,0.45981
0.30307,0.48002,0.35726,0.41659,0.39693
0.2442,0.55369,0.40968,0.50335,0.33755
0.20079,0.58979,0.45954,0.56006,0.29015
0.16739,0.61463,0.49922,0.59621,0.25958
0.3263,0.47384,0.37698,0.39188,0.39928
0.2623,0.5563,0.43399,0.4672,0.34078
0.18155,0.65829,0.52431,0.58166,0.25408
0.12907,0.70465,0.58143,0.66468,0.19961
0.2808,0.52983,0.45613,0.4421,0.34482
0.21607,0.64454,0.56401,0.5444,0.25849
0.13976,0.75828,0.66874,0.67297,0.16831
0.24703,0.56588,0.50992,0.49,0.30107
0.18277,0.67696,0.62906,0.59343,0.21743
0.2298,0.57429,0.52306,0.51345,0.28448
0.30363,0.46486,0.35941,0.40679,0.39867
0.26627,0.51775,0.40507,0.45718,0.35272
0.21928,0.56547,0.44856,0.51426,0.3089
0.18354,0.60471,0.49048,0.56658,0.27045
0.27096,0.51738,0.41679,0.44917,0.35108
0.22197,0.57996,0.47921,0.5093,0.29815
0.17503,0.64278,0.53207,0.5811,0.24629
0.23958,0.55783,0.4756,0.48753,0.31011
0.18856,0.63695,0.55322,0.56221,0.24769
0.22393,0.57513,0.50518,0.50954,0.28994
0.27372,0.50095,0.39892,0.44475,0.36054
0.2401,0.5393,0.43332,0.48302,0.32811
0.20957,0.57399,0.47058,0.52725,0.29296
0.24604,0.52885,0.43906,0.47344,0.33035
0.21313,0.57611,0.48158,0.51779,0.29237
0.22939,0.5511,0.46988,0.49574,0.3079
0.25845,0.51026,0.42085,0.46185,0.34317
0.24074,0.53068,0.43923,0.48299,0.32555
0.24365,0.5265,0.43835,0.4781,0.32842
0.26055,0.51023,0.42082,0.46265,0.3425
0.6951,0.1212,0.075323,0.10813,0.77678
0.6559,0.13754,0.069418,0.17094,0.75903
0.57798,0.20183,0.13787,0.28495,0.67043
0.44667,0.3026,0.2321,0.35561,0.53522
0.34872,0.38909,0.31999,0.42586,0.43936
0.30275,0.43514,0.36645,0.45512,0.39185
0.27716,0.46505,0.3947,0.4654,0.36474
0.27199,0.47101,0.39955,0.46846,0.36001
0.67399,0.14014,0.13032,0.11412,0.74527
0.6089,0.16844,0.1901,0.21267,0.67998
0.53568,0.24157,0.2418,0.33455,0.5966
0.39629,0.35254,0.32473,0.40189,0.46503
0.31803,0.42787,0.37597,0.46184,0.39443
0.27935,0.46562,0.40179,0.47643,0.36159
0.26065,0.48441,0.4154,0.48265,0.347
0.58154,0.21729,0.25072,0.20324,0.63112
0.56882,0.2481,0.31846,0.26951,0.58928
0.46253,0.333,0.36945,0.3773,0.48532
0.34476,0.42449,0.40896,0.45611,0.39172
0.2807,0.4764,0.43783,0.48949,0.3461
0.25787,0.49614,0.43821,0.49695,0.33316
0.47704,0.30907,0.32867,0.27997,0.52632
0.43976,0.36086,0.39164,0.34482,0.46429
0.37297,0.41538,0.44134,0.42526,0.40311
0.28398,0.48184,0.4595,0.48591,0.34013
0.25201,0.50906,0.46843,0.50877,0.31873
0.38525,0.38573,0.38305,0.35436,0.44103
0.34956,0.42977,0.42809,0.40292,0.39546
0.29375,0.47473,0.46093,0.45969,0.34994
0.25787,0.50853,0.47254,0.49395,0.3209
0.33941,0.43162,0.41124,0.39908,0.39509
0.3068,0.46104,0.43871,0.43405,0.3657
0.28239,0.48178,0.45271,0.4606,0.34549
0.30598,0.45131,0.4172,0.42185,0.37688
0.2892,0.47249,0.43259,0.44384,0.3571
0.29588,0.46152,0.41322,0.43012,0.3694
0.66227,0.16847,0.070443,0.12531,0.76159
0.60088,0.22393,0.078462,0.22409,0.72131
0.4812,0.28361,0.18007,0.33149,0.58198
0.37253,0.37861,0.2774,0.42385,0.47202
0.30977,0.43787,0.3664,0.46066,0.39058
0.25717,0.48791,0.40738,0.49485,0.34799
0.25763,0.48795,0.41569,0.48701,0.34483
0.64597,0.21424,0.19618,0.12989,0.71172
0.5704,0.2344,0.26728,0.23979,0.60289
0.51857,0.32995,0.31532,0.4367,0.528
0.33281,0.43236,0.38977,0.481,0.39231
0.25709,0.49825,0.43347,0.52135,0.33362
0.23611,0.51731,0.44526,0.52298,0.31879
0.57612,0.28657,0.33164,0.22497,0.58015
0.60654,0.36699,0.49002,0.33476,0.53005
0.43774,0.43849,0.50253,0.48351,0.40328
0.29093,0.50934,0.49474,0.53258,0.31914
0.2265,0.54498,0.49381,0.55463,0.28983
0.44291,0.38054,0.40384,0.32175,0.46821
0.40689,0.44632,0.50344,0.40875,0.40281
0.30748,0.5181,0.53553,0.50094,0.31917
0.23707,0.5611,0.54282,0.56171,0.27496
0.36538,0.43806,0.44218,0.39135,0.39821
0.30433,0.49226,0.49192,0.45831,0.34193
0.25628,0.54104,0.52847,0.51404,0.29679
0.30313,0.47224,0.44363,0.432,0.36109
0.27785,0.50292,0.47504,0.46753,0.33155
0.28958,0.47471,0.43691,0.44381,0.35572
0.5549,0.2756,0.14646,0.20411,0.64533
0.50592,0.33149,0.18819,0.27314,0.57645
0.39578,0.39805,0.25775,0.40124,0.47791
0.30849,0.45922,0.35782,0.48156,0.38772
0.25252,0.51222,0.41837,0.52043,0.33312
0.23442,0.51796,0.43447,0.51843,0.32274
0.55534,0.34114,0.26437,0.21623,0.58322
0.54028,0.44628,0.33429,0.32904,0.51015
0.36581,0.47652,0.4068,0.46519,0.3756
0.25153,0.55062,0.47002,0.55779,0.29935
0.21325,0.5686,0.49325,0.57211,0.27798
0.46944,0.40161,0.40531,0.30391,0.47763
0.50132,0.52975,0.56687,0.41574,0.40946
0.32713,0.57381,0.58124,0.54879,0.29058
0.21649,0.6194,0.58105,0.61836,0.23588
0.37059,0.46921,0.46183,0.39499,0.38769
0.32008,0.55258,0.57076,0.48396,0.31558
0.24878,0.62164,0.62327,0.58542,0.24209
0.31412,0.49882,0.48776,0.44293,0.34622
0.25915,0.55208,0.53579,0.50557,0.29529
0.27749,0.5014,0.46844,0.45932,0.33629
0.4432,0.35854,0.23365,0.28892,0.53071
0.38131,0.42217,0.29091,0.36145,0.45949
0.30392,0.49542,0.3715,0.45241,0.37512
0.25127,0.52885,0.42206,0.50908,0.32742
0.21889,0.54996,0.46009,0.54825,0.29847
0.41555,0.42423,0.34566,0.32378,0.45994
0.34616,0.50579,0.4148,0.41533,0.37766
0.26662,0.58014,0.48372,0.52484,0.29638
0.2,0.61105,0.5183,0.58161,0.25521
0.35767,0.487,0.44089,0.38958,0.38771
0.30137,0.57465,0.53337,0.48549,0.30661
0.2083,0.65652,0.6026,0.60073,0.22214
0.29094,0.53085,0.4963,0.45876,0.32681
0.25058,0.60521,0.58461,0.53555,0.26587
0.26786,0.53469,0.50466,0.48313,0.31178
0.34593,0.44121,0.34296,0.36946,0.4251
0.30042,0.48967,0.37747,0.43212,0.37656
0.24862,0.53995,0.42989,0.4952,0.32491
0.22008,0.56887,0.46447,0.53279,0.29463
0.31912,0.48129,0.39051,0.4052,0.38494
0.25974,0.55441,0.45388,0.48544,0.31879
0.20619,0.60481,0.50848,0.55615,0.26584
0.27602,0.53697,0.45938,0.45988,0.33068
0.22742,0.60106,0.53081,0.52975,0.27165
