63.3572381,124240.2820550,
371.7915642,107174.9970849,
62.6313621,124240.4066984,
64.7319780,124240.0317918,
363.4223751,107624.2627410,
76.0025533,123572.8600687,
69.5378739,123792.5927568,
74.9170374,123791.5903218,
74.2328763,123791.7154941,
59.8658380,124240.9070214,
312.2474262,110319.8427957,
73.0538750,123791.9682807,
303.8718194,110769.1083705,
162.5849072,117957.3439655,
388.8316793,106276.4700877,
397.3421104,105827.2064670,
136.3182069,119529.6676288,
322.5144549,109870.6028700,
405.9937834,105377.9448818,
93.0919195,122898.8779722,
55.8047251,124241.6585428,
55.0935329,124242.0494646,
70.7543649,123792.3407860,
56.9389279,124241.5404295,
354.7707021,108073.5243262,
61.9664539,124240.5321148,
98.7990355,122674.2173005,
73.5422975,123791.8405850,
186.3739979,116384.9978722,
172.0563511,117957.1733710,
233.5807295,115486.7253341,
424.6526469,104479.4377385,
452.0352263,103131.6708957,
121.2046096,119529.8339361,
127.1692767,119529.7657620,
944.1412588,71017.0396383,
938.9895762,71017.1337830,
329.2650795,109421.3155137,
337.7755106,108972.0518930,
380.2987865,106725.7334235,
94.9187687,122898.7002151,
93.3036490,122898.8776226,
111.7138710,122224.8939830,
104.4868985,122449.5563847,
55.1771079,124241.9174646,
58.3007792,124241.2898408,
59.2324834,124241.0328037,
58.4878892,124241.1572439,
86.8919441,123343.3053563,
71.6503089,123792.2183404,
346.4047218,108522.7900230,
295.2105200,111218.3698336,
115.8755131,122000.2348785,
155.6320051,117957.4375868,
218.8671505,116160.5900800,
258.2351880,114138.9343983,
497.6836258,100885.3931908,
467.2190712,102233.1217066,
289.0588138,113914.5961377,
247.3227547,114812.9261120,
441.0471839,103580.9033999,
474.5165835,101783.8434300,
458.7070699,102682.3849292,
43.4587751,124247.2357508,
146.8852623,119529.5482690,
249.0285510,114812.8604797,
1463.8984440,51707.6867669,
638.5476833,90330.9811392,
651.5310007,89207.8835444,
662.7094293,89207.8144848,
1863.9001368,16444.9805780,
669.1623086,88983.2070926,
649.4279241,89207.9886386,
710.3813737,88084.6074049,
708.9947258,88309.5620723,
923.9576450,71017.3804782,
962.5600520,70343.3602104,
946.8129724,71017.0329937,
950.2962767,70792.4792206,
1027.0937033,68097.9205060,
873.1005837,74161.0096841,
975.2674834,69894.6043657,
938.9893898,71017.1339303,
936.5528572,71017.1500672,
925.9679535,71017.2139116,
939.3043912,71017.0790188,
956.3167959,70343.5686958,
920.6019541,71690.7843537,
909.9046407,72364.4168374,
1139.3284352,60465.2500658,
1096.2445805,61811.8836638,
1254.4065207,52604.7502504,
1123.2694153,61137.5430764,
759.1116800,81346.3372879,
785.4985364,80223.4345857,
723.6834619,83143.2784728,
807.6109367,79549.8193260,
749.5572919,81346.4297326,
772.5324777,80223.4667944,
2494.6155755,286.5648552,
2413.2242114,962.0957244,
2423.3438279,288.5051169,
1778.1982491,25883.4819073,
1778.6698424,25883.3997845,
1471.1384128,44073.9136748,
1679.0826712,25884.0099324,
1788.7256402,22966.2647122,
1709.7461889,25883.7652211,
1660.6142210,25884.3759453,
1678.9845429,25884.0629742,
1991.6387386,7698.3045821,
1978.2718839,10842.8202211,
2000.6130991,6575.3738770,
1659.4617057,40931.1502416,
1654.9240186,41604.9058449,
612.0681873,92352.7087617,
1578.6269043,44073.1705810,
2149.6592897,1411.8336990,
1840.7047338,16903.1756403,
586.6489608,96621.5977479,
595.3416722,94374.7238982,
559.9300941,97294.7808352,
1305.3378265,51931.6945656,
1594.2600852,42726.2240525,
1612.0032243,42277.2044411,
1592.3511527,43400.0322330,
81.7033049,123348.1994784,
82.2057402,123348.1988954,
88.9239753,123123.5369859,
83.2266548,123348.1979330,
83.6880507,123348.1974343,
66.1617206,124022.1801607,
98.5200441,122898.5746906,
95.3529810,122898.6758581,
85.2174681,123348.0115456,
96.8028344,122898.5847452,
100.6195203,122674.0396248,
66.4493981,124022.0040616,
94.2507013,122898.7415154,
107.6973418,122449.3942717,
84.7832558,123348.0359026,
114.2125027,122224.6842345,
113.8649288,122224.7096902,
68.3927809,124021.9672518,
87.4104209,123123.5388067,
76.6503992,123572.8593643,
105.1347444,122449.5556803,
88.0045611,123123.5381772,
94.5982752,122898.7160598,
93.6924241,122898.8772613,
99.4247573,122674.2166180,
93.9325797,122898.8769808,
93.4490596,122898.8775012,
110.8162430,122224.8948459,
110.7817903,122224.8951649,
112.0081350,122224.7181186,
64.8342783,124022.1814691,
99.0044006,122674.2170323,
110.1683971,122224.8955502,
106.0260080,122449.5548988,
117.4146226,122000.2333927,
65.6971158,124022.1806186,
553.5653904,99536.7491347,
85.8054108,123343.5588311,
69.0633563,123792.7203271,
68.7599764,123792.8498894,
86.4826728,123343.4339459,
70.4976769,123792.4723247,
72.1451490,123792.0907262,
57.6102538,124241.4150945,
2888.0147064,50.1886772,
2889.7968028,48.1513211,

